iter	Passed	Remaining
0	141	141853
1	143	71527
2	144	48158
3	146	36413
4	147	29373
5	148	24667
6	150	21312
7	151	18793
8	152	16839
9	154	15266
10	155	13975
11	156	12895
12	157	11981
13	158	11196
14	159	10501
15	160	9872
16	161	9316
17	161	8823
18	162	8380
19	162	7982
20	163	7621
21	164	7295
22	164	6996
23	165	6723
24	165	6472
25	166	6239
26	167	6022
27	167	5822
28	168	5637
29	168	5461
30	169	5297
31	170	5142
32	170	4997
33	171	4861
34	171	4733
35	172	4611
36	172	4496
37	173	4387
38	173	4283
39	174	4190
40	175	4099
41	175	4012
42	176	3928
43	177	3848
44	177	3771
45	178	3699
46	178	3628
47	179	3561
48	180	3496
49	180	3434
50	181	3375
51	181	3317
52	182	3262
53	183	3209
54	183	3159
55	184	3108
56	185	3060
57	185	3014
58	186	2970
59	186	2926
60	187	2884
61	188	2844
62	188	2805
63	189	2767
64	189	2731
65	190	2695
66	191	2660
67	191	2622
68	192	2590
69	192	2560
70	193	2529
71	193	2499
72	194	2470
73	195	2441
74	195	2413
75	196	2386
76	196	2359
77	197	2334
78	198	2309
79	198	2284
80	199	2260
81	199	2237
82	200	2214
83	201	2192
84	201	2168
85	202	2148
86	202	2126
87	203	2106
88	203	2086
89	204	2067
90	205	2048
91	205	2029
92	206	2011
93	206	1993
94	207	1975
95	207	1958
96	208	1941
97	209	1924
98	209	1908
99	210	1892
100	210	1877
101	211	1860
102	212	1846
103	212	1832
104	213	1818
105	214	1805
106	214	1792
107	215	1779
108	216	1767
109	216	1753
110	217	1740
111	217	1727
112	218	1714
113	218	1701
114	219	1689
115	219	1676
116	220	1664
117	221	1654
118	221	1642
119	222	1631
120	223	1620
121	223	1609
122	223	1596
123	224	1586
124	225	1575
125	225	1565
126	226	1555
127	226	1544
128	227	1535
129	227	1525
130	228	1516
131	229	1508
132	230	1499
133	230	1490
134	231	1481
135	231	1473
136	232	1464
137	232	1454
138	233	1445
139	233	1437
140	234	1428
141	235	1420
142	235	1412
143	236	1404
144	236	1396
145	237	1388
146	237	1380
147	238	1373
148	239	1366
149	239	1358
150	240	1351
151	241	1344
152	241	1338
153	242	1331
154	243	1325
155	243	1319
156	244	1313
157	245	1307
158	245	1301
159	246	1295
160	247	1289
161	248	1283
162	248	1277
163	249	1271
164	250	1265
165	250	1260
166	251	1254
167	252	1248
168	252	1242
169	253	1236
170	253	1231
171	254	1225
172	255	1220
173	255	1215
174	256	1209
175	257	1204
176	257	1199
177	258	1193
178	259	1189
179	259	1184
180	260	1178
181	261	1173
182	261	1168
183	262	1163
184	263	1158
185	263	1154
186	264	1149
187	265	1144
188	265	1140
189	266	1136
190	267	1131
191	267	1126
192	268	1122
193	269	1117
194	269	1113
195	270	1109
196	271	1104
197	271	1100
198	272	1096
199	273	1092
200	273	1088
201	274	1083
202	275	1079
203	275	1075
204	276	1071
205	276	1067
206	277	1063
207	278	1058
208	278	1054
209	279	1050
210	279	1046
211	280	1042
212	281	1038
213	281	1034
214	282	1030
215	282	1026
216	283	1022
217	284	1019
218	284	1015
219	285	1011
220	285	1007
221	286	1004
222	287	1000
223	287	996
224	288	992
225	288	989
226	289	985
227	289	981
228	290	978
229	291	974
230	291	971
231	292	968
232	293	964
233	293	961
234	294	957
235	294	954
236	295	951
237	296	947
238	296	944
239	297	941
240	297	937
241	298	934
242	298	931
243	299	927
244	299	924
245	300	921
246	301	917
247	301	914
248	302	911
249	302	908
250	303	905
251	304	902
252	304	899
253	305	896
254	305	893
255	306	890
256	306	887
257	307	884
258	308	881
259	308	878
260	309	875
261	309	872
262	310	869
263	311	867
264	311	865
265	312	862
266	313	859
267	313	856
268	314	853
269	314	851
270	315	848
271	316	845
272	316	843
273	317	840
274	317	837
275	318	834
276	318	831
277	319	829
278	319	826
279	320	824
280	321	821
281	321	819
282	322	816
283	322	813
284	323	811
285	323	808
286	324	805
287	324	803
288	325	801
289	326	798
290	327	796
291	327	794
292	328	792
293	329	790
294	329	788
295	330	786
296	331	784
297	331	782
298	332	779
299	333	777
300	333	775
301	334	773
302	335	770
303	335	768
304	336	766
305	336	764
306	337	761
307	338	759
308	338	757
309	339	755
310	340	753
311	340	751
312	341	749
313	341	747
314	342	745
315	343	742
316	343	740
317	344	738
318	345	736
319	345	734
320	346	732
321	346	730
322	347	728
323	347	725
324	348	723
325	349	721
326	349	719
327	350	717
328	350	715
329	351	713
330	351	711
331	352	709
332	353	707
333	353	705
334	354	703
335	354	701
336	355	699
337	356	697
338	356	695
339	357	693
340	357	691
341	358	689
342	358	687
343	359	685
344	359	683
345	360	681
346	361	679
347	361	677
348	362	675
349	362	674
350	363	672
351	364	670
352	364	668
353	365	666
354	365	664
355	366	663
356	367	661
357	367	659
358	368	657
359	369	656
360	369	654
361	370	652
362	370	650
363	371	649
364	372	647
365	372	645
366	373	643
367	373	642
368	374	640
369	375	638
370	375	637
371	376	635
372	376	633
373	377	631
374	378	630
375	378	628
376	379	626
377	379	624
378	380	623
379	380	621
380	381	619
381	381	617
382	382	616
383	383	614
384	383	613
385	384	611
386	384	609
387	385	608
388	386	606
389	386	604
390	387	603
391	387	601
392	388	599
393	388	598
394	389	596
395	390	594
396	390	593
397	391	591
398	391	589
399	392	588
400	392	587
401	393	585
402	394	583
403	394	582
404	395	580
405	395	579
406	396	577
407	397	576
408	397	574
409	398	573
410	398	571
411	399	570
412	400	568
413	400	567
414	401	565
415	402	564
416	402	562
417	403	561
418	403	559
419	404	558
420	405	557
421	405	555
422	406	554
423	406	552
424	407	551
425	408	549
426	408	548
427	409	546
428	409	545
429	410	543
430	411	542
431	411	541
432	412	539
433	412	538
434	413	536
435	414	535
436	414	534
437	415	532
438	415	531
439	416	529
440	417	528
441	417	527
442	418	525
443	418	524
444	419	522
445	419	521
446	420	520
447	421	519
448	421	517
449	422	516
450	423	514
451	423	513
452	424	512
453	424	510
454	425	509
455	426	508
456	426	506
457	427	505
458	427	504
459	428	502
460	429	501
461	429	500
462	430	499
463	430	497
464	431	496
465	432	495
466	432	493
467	433	492
468	433	491
469	434	489
470	434	488
471	435	487
472	436	485
473	436	484
474	437	483
475	437	481
476	438	480
477	439	479
478	439	478
479	440	477
480	440	475
481	441	474
482	442	473
483	442	471
484	443	470
485	443	469
486	444	468
487	444	466
488	445	465
489	445	464
490	446	462
491	447	461
492	447	460
493	448	459
494	449	458
495	449	456
496	450	455
497	450	454
498	451	453
499	452	452
500	452	450
501	453	449
502	453	448
503	454	447
504	455	446
505	455	445
506	456	444
507	457	442
508	457	441
509	458	440
510	459	439
511	459	438
512	460	436
513	460	435
514	461	434
515	461	433
516	462	432
517	463	430
518	463	429
519	464	428
520	464	427
521	465	426
522	466	425
523	466	424
524	467	422
525	468	421
526	468	420
527	469	419
528	469	418
529	470	417
530	471	416
531	471	414
532	472	413
533	472	412
534	473	411
535	474	410
536	474	409
537	475	408
538	475	407
539	476	405
540	477	404
541	477	403
542	478	402
543	478	401
544	479	400
545	479	399
546	480	397
547	481	396
548	481	395
549	482	394
550	482	393
551	483	392
552	484	391
553	484	390
554	485	389
555	486	388
556	486	386
557	487	385
558	487	384
559	488	383
560	489	382
561	489	381
562	490	380
563	490	379
564	491	378
565	491	377
566	492	376
567	493	375
568	493	374
569	494	372
570	494	371
571	495	370
572	496	369
573	496	368
574	497	367
575	498	366
576	498	365
577	499	364
578	499	363
579	500	362
580	501	361
581	501	360
582	502	359
583	502	358
584	503	357
585	504	356
586	504	355
587	505	354
588	506	353
589	506	352
590	507	350
591	507	349
592	508	348
593	508	347
594	509	346
595	510	345
596	510	344
597	511	343
598	512	342
599	512	341
600	513	340
601	514	339
602	514	338
603	515	337
604	515	336
605	516	335
606	517	334
607	517	333
608	518	332
609	518	331
610	519	330
611	519	329
612	520	328
613	521	327
614	521	326
615	522	325
616	522	324
617	523	323
618	523	322
619	524	321
620	525	320
621	525	319
622	526	318
623	526	317
624	527	316
625	528	315
626	528	314
627	529	313
628	529	312
629	530	311
630	531	310
631	531	309
632	532	308
633	532	307
634	533	306
635	534	305
636	534	304
637	535	303
638	535	302
639	536	301
640	536	300
641	537	299
642	538	298
643	538	297
644	539	296
645	539	295
646	540	294
647	541	293
648	541	292
649	542	291
650	542	290
651	543	289
652	543	288
653	544	288
654	544	287
655	545	286
656	546	285
657	546	284
658	547	283
659	547	282
660	548	281
661	548	280
662	549	279
663	550	278
664	550	277
665	551	276
666	551	275
667	552	274
668	552	273
669	553	272
670	554	271
671	554	270
672	555	269
673	556	268
674	556	268
