iter	Passed	Remaining
0	113	113004
1	115	57857
2	118	39327
3	120	29987
4	123	24482
5	125	20846
6	127	18030
7	128	15961
8	130	14389
9	132	13090
10	133	12014
11	135	11120
12	137	10435
13	139	9800
14	140	9219
15	141	8710
16	142	8251
17	143	7842
18	144	7469
19	145	7132
20	146	6828
21	147	6553
22	148	6305
23	149	6076
24	150	5866
25	151	5692
26	153	5517
27	154	5354
28	155	5198
29	156	5054
30	157	4920
31	158	4795
32	159	4675
33	160	4564
34	161	4458
35	162	4357
36	164	4275
37	165	4192
38	166	4104
39	167	4020
40	168	3940
41	169	3861
42	170	3785
43	170	3714
44	171	3645
45	172	3579
46	173	3515
47	174	3454
48	174	3395
49	175	3336
50	176	3280
51	176	3226
52	177	3172
53	178	3125
54	179	3084
55	180	3040
56	181	2996
57	181	2953
58	182	2913
59	183	2873
60	184	2834
61	184	2797
62	185	2763
63	186	2728
64	187	2698
65	188	2669
66	189	2640
67	190	2609
68	191	2580
69	192	2551
70	192	2524
71	193	2498
72	194	2475
73	195	2452
74	198	2452
75	199	2428
76	200	2404
77	201	2381
78	203	2367
79	203	2344
80	204	2322
81	205	2298
82	205	2272
83	206	2253
84	207	2236
85	208	2220
86	210	2209
87	211	2193
88	212	2173
89	212	2153
90	213	2133
91	214	2114
92	215	2097
93	215	2080
94	216	2063
95	217	2045
96	217	2027
97	218	2010
98	219	1993
99	219	1976
100	220	1959
101	220	1943
102	221	1927
103	222	1912
104	222	1899
105	223	1886
106	225	1879
107	225	1865
108	226	1851
109	227	1838
110	227	1825
111	228	1811
112	229	1799
113	230	1787
114	231	1779
115	232	1768
116	232	1755
117	233	1743
118	233	1732
119	234	1720
120	235	1709
121	235	1697
122	236	1686
123	237	1677
124	238	1667
125	239	1657
126	239	1646
127	240	1636
128	240	1626
129	241	1617
130	242	1607
131	243	1599
132	243	1589
133	244	1579
134	245	1570
135	245	1560
136	246	1550
137	246	1541
138	247	1532
139	248	1524
140	248	1515
141	249	1505
142	249	1496
143	250	1488
144	250	1479
145	251	1471
146	252	1464
147	253	1457
148	253	1450
149	254	1443
150	255	1435
151	255	1427
152	256	1419
153	256	1411
154	257	1403
155	258	1396
156	258	1389
157	259	1382
158	259	1375
159	260	1368
160	260	1360
161	261	1353
162	262	1346
163	262	1339
164	263	1333
165	264	1326
166	264	1320
167	265	1313
168	265	1307
169	266	1301
170	267	1295
171	267	1290
172	268	1284
173	269	1278
174	269	1272
175	270	1266
176	271	1260
177	271	1254
178	272	1249
179	272	1243
180	273	1238
181	274	1232
182	274	1227
183	275	1221
184	276	1216
185	276	1210
186	277	1205
187	277	1200
188	278	1195
189	279	1189
190	279	1184
191	280	1179
192	281	1175
193	281	1170
194	282	1166
195	283	1161
196	283	1157
197	284	1152
198	285	1147
199	285	1143
200	286	1138
201	287	1134
202	287	1129
203	288	1125
204	288	1120
205	289	1116
206	290	1111
207	290	1107
208	291	1103
209	292	1098
210	292	1094
211	293	1090
212	293	1086
213	294	1081
214	295	1077
215	295	1073
216	296	1069
217	297	1065
218	297	1061
219	298	1058
220	299	1054
221	299	1050
222	300	1046
223	300	1042
224	301	1038
225	302	1034
226	302	1031
227	303	1027
228	304	1023
229	304	1019
230	305	1016
231	305	1012
232	306	1009
233	307	1005
234	307	1001
235	308	998
236	309	995
237	309	991
238	310	987
239	311	984
240	311	981
241	312	978
242	312	974
243	313	972
244	314	969
245	315	966
246	315	963
247	316	960
248	317	956
249	317	953
250	318	950
251	318	946
252	319	943
253	320	940
254	320	937
255	321	934
256	322	930
257	322	927
258	323	924
259	323	921
260	324	918
261	325	915
262	325	912
263	326	910
264	327	907
265	327	904
266	328	901
267	329	899
268	329	896
269	330	893
270	331	890
271	331	887
272	332	885
273	333	882
274	333	879
275	334	876
276	334	874
277	335	871
278	336	868
279	336	865
280	337	862
281	337	860
282	338	857
283	339	854
284	339	852
285	340	849
286	341	847
287	341	844
288	342	841
289	342	839
290	343	837
291	344	834
292	345	832
293	345	830
294	346	827
295	346	825
296	347	822
297	348	820
298	348	817
299	349	815
300	350	813
301	350	810
302	351	808
303	352	806
304	352	803
305	353	801
306	353	799
307	354	796
308	355	794
309	356	792
310	356	790
311	357	788
312	358	785
313	358	783
314	359	781
315	360	779
316	360	777
317	361	775
318	362	773
319	362	770
320	363	768
321	364	766
322	364	764
323	365	761
324	365	760
325	366	757
326	367	755
327	367	753
328	368	751
329	369	749
330	370	748
331	371	746
332	371	744
333	372	742
334	373	740
335	373	738
336	374	737
337	375	735
338	376	733
339	377	731
340	377	730
341	378	727
342	379	726
343	379	724
344	380	722
345	381	720
346	381	718
347	382	716
348	383	714
349	383	713
350	384	711
351	385	710
352	386	708
353	387	706
354	388	704
355	389	703
356	390	702
357	391	701
358	391	699
359	392	698
360	394	697
361	395	696
362	395	694
363	396	692
364	397	690
365	397	689
366	398	687
367	399	685
368	400	684
369	400	682
370	401	681
371	402	679
372	403	677
373	403	676
374	405	675
375	405	673
376	406	672
377	407	670
378	408	668
379	408	667
380	409	665
381	410	663
382	410	661
383	411	660
384	412	658
385	412	656
386	413	655
387	414	653
388	415	652
389	416	651
390	417	649
391	418	648
392	419	647
393	420	646
394	420	644
395	421	642
396	422	641
397	422	639
398	423	637
399	424	636
400	424	634
401	425	633
402	426	631
403	427	629
404	427	628
405	428	626
406	429	625
407	429	623
408	430	621
409	430	619
410	431	618
411	432	616
412	432	615
413	433	613
414	434	612
415	434	610
416	435	609
417	436	607
418	437	606
419	437	604
420	438	602
421	439	601
422	439	599
423	440	598
424	441	596
425	441	595
426	442	593
427	443	592
428	443	590
429	444	589
430	445	587
431	445	586
432	446	584
433	447	583
434	447	581
435	448	580
436	449	578
437	450	577
438	450	576
439	451	574
440	452	572
441	452	571
442	453	569
443	453	568
444	454	566
445	455	565
446	455	563
447	456	562
448	456	560
449	457	559
450	458	557
451	458	556
452	459	554
453	459	553
454	460	551
455	461	550
456	461	548
457	462	547
458	463	545
459	463	544
460	464	543
461	465	541
462	465	540
463	466	538
464	467	537
465	467	536
466	468	534
467	468	533
468	469	531
469	470	530
470	470	528
471	471	527
472	471	525
473	472	524
474	472	522
475	473	521
476	474	519
477	474	518
478	475	516
479	475	515
480	476	514
481	476	512
482	477	511
483	478	509
484	478	508
485	479	507
486	480	505
487	481	504
488	481	503
489	482	501
490	482	500
491	483	499
492	484	497
493	484	496
494	485	495
495	485	493
496	486	492
497	487	491
498	487	489
499	488	488
500	489	487
501	489	485
502	490	484
503	490	483
504	491	481
505	492	480
506	492	479
507	493	477
508	493	476
509	494	475
510	495	474
511	496	473
512	497	472
513	497	470
514	498	469
515	499	468
516	500	467
517	501	466
518	501	465
519	502	463
520	503	462
521	503	461
